,AlturaFusteLimpio_desvest_250m,AlturaFusteLimpio_media_250m,AlturaTotal_desvest_250m,AlturaTotal_media_250m,DiametroCopa_desvest_250m,DiametroCopa_media_250m,DiametroNormal_desvest_250m,DiametroNormal_media_250m,hemerobia_250m,net_photo_mean,net_photo_mean_lluvias,net_photo_mean_secas,net_photo_sd,presenciaArbolesMuertos_250m,presenciaInsectos_250m,propor_bosque,propor_pastizaloagricultura,propor_selva,propor_suelodesnudo,propor_urbano,srtm90m_mean250m,srtm90m_range250m,zvh_31_lcc_h
AlturaFusteLimpio_desvest_250m,,1,1,,,,,,,,,,,,,,,,,,,,
AlturaFusteLimpio_media_250m,,,,1,,,,,,,,1,,1,,,,,,,,,
AlturaTotal_desvest_250m,,,,,1,,1,,,,,,,,,,,,,,,,
AlturaTotal_media_250m,,,,,,,,,,,,,,,,,,,,,,,
DiametroCopa_desvest_250m,,,,,,1,,,,,,,,,,,,,,,,,
DiametroCopa_media_250m,,,,,,,,,,,,,,,,,,,,,,,
DiametroNormal_desvest_250m,,,,,,,,1,,,,,,,,,,,,,,,
DiametroNormal_media_250m,,,,,,,,,,,,,,,,1,,,,,,,
hemerobia_250m,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,,,,
net_photo_mean,,,,,,,,,,,1,,,,,,,,,,,,
net_photo_mean_lluvias,,,,,,,,,,,,,1,,,,,,,,,,
net_photo_mean_secas,,,,,,,,,,1,,,,,,,,,,,,,
net_photo_sd,,,,,,,,,,,,,,,,,,,,,,,
presenciaArbolesMuertos_250m,,,,,,,,,,,,,,,1,,,,,,,,
presenciaInsectos_250m,,,,,,,,,,,,,,,,,,,,,,,
propor_bosque,,,,,,,,,,,,,,,,,,1,,,,,
propor_pastizaloagricultura,,,,,,,,,1,,,,,,,,,,,1,,,
propor_selva,,,,,,,,,,,,,,,,,,,,,,,
propor_suelodesnudo,,,,,,,,,1,,,,,,,,1,,,,,,
propor_urbano,,,,,,,,,1,,,,,,,,,,,,,,
srtm90m_mean250m,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,,,,
srtm90m_range250m,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,,,,
zvh_31_lcc_h,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,,,,